episode,reward,loss
1,27.0,227.10772705078125
2,31.0,295.66387939453125
3,16.0,83.98159790039062
4,84.0,1832.4927978515625
5,25.0,197.24472045898438
6,55.0,850.8174438476562
7,14.0,67.1830825805664
8,60.0,1016.526123046875
9,51.0,749.1593017578125
10,21.0,152.52764892578125
11,17.0,108.65206146240234
12,27.0,225.5369110107422
13,27.0,234.84347534179688
14,27.0,222.55142211914062
15,16.0,90.76963806152344
16,15.0,77.52191925048828
17,34.0,345.1341247558594
18,18.0,110.8812255859375
19,14.0,65.19402313232422
20,25.0,200.66143798828125
21,22.0,167.1619873046875
22,26.0,208.61074829101562
23,14.0,65.73772430419922
24,26.0,213.0331573486328
25,15.0,80.17711639404297
26,27.0,233.08213806152344
27,18.0,108.92658996582031
28,53.0,796.0327758789062
29,23.0,168.36221313476562
30,21.0,141.1457061767578
31,15.0,78.60729217529297
32,12.0,51.70594024658203
33,27.0,226.7858428955078
34,21.0,152.7823486328125
35,24.0,178.72988891601562
36,21.0,137.13504028320312
37,40.0,474.4454040527344
38,11.0,44.45060348510742
39,12.0,53.249244689941406
40,42.0,532.5772705078125
41,22.0,153.2320556640625
42,35.0,362.1731262207031
43,61.0,1004.3282470703125
44,32.0,311.3912353515625
45,17.0,95.18738555908203
46,67.0,1224.481689453125
47,16.0,86.82550048828125
48,23.0,175.5224151611328
49,59.0,980.5523681640625
50,15.0,76.7724838256836
51,17.0,103.88453674316406
52,83.0,1781.1424560546875
53,18.0,105.37894439697266
54,30.0,304.0423583984375
55,45.0,567.031982421875
56,43.0,542.3890991210938
57,37.0,400.1211242675781
58,39.0,453.29278564453125
59,27.0,217.61624145507812
60,42.0,507.7673645019531
61,18.0,108.53235626220703
62,29.0,260.742431640625
63,38.0,413.9947204589844
64,24.0,182.4101104736328
65,59.0,986.3755493164062
66,24.0,179.9080352783203
67,20.0,134.4896240234375
68,24.0,199.73309326171875
69,66.0,1183.6744384765625
70,18.0,110.1213150024414
71,46.0,615.2969970703125
72,19.0,129.4816131591797
73,32.0,316.0778503417969
74,50.0,712.9075317382812
75,39.0,445.5978698730469
76,15.0,79.95500946044922
77,41.0,490.644287109375
78,16.0,92.3997573852539
79,19.0,129.60513305664062
80,23.0,165.9491729736328
81,20.0,135.87344360351562
82,29.0,261.38372802734375
83,28.0,237.8092498779297
84,19.0,119.69454193115234
85,42.0,530.163330078125
86,22.0,164.60787963867188
87,30.0,277.0601806640625
88,56.0,852.8577880859375
89,14.0,72.35991668701172
90,40.0,473.7511901855469
91,55.0,816.6431274414062
92,18.0,104.2930679321289
93,23.0,166.45277404785156
94,60.0,995.9793701171875
95,107.0,2706.95361328125
96,34.0,346.7781066894531
97,20.0,142.12655639648438
98,49.0,682.6154174804688
99,17.0,107.58157348632812
100,49.0,667.2300415039062
101,29.0,249.14682006835938
102,25.0,194.47198486328125
103,65.0,1107.0093994140625
104,26.0,220.8284149169922
105,26.0,225.3057403564453
106,25.0,192.06407165527344
107,70.0,1262.9033203125
108,33.0,325.8980712890625
109,34.0,365.6321716308594
110,24.0,172.8113555908203
111,34.0,343.90960693359375
112,32.0,306.7496337890625
113,35.0,385.56793212890625
114,95.0,2253.919921875
115,36.0,382.1903381347656
116,59.0,934.7323608398438
117,63.0,1063.1695556640625
118,52.0,743.1442260742188
119,33.0,340.1614990234375
120,49.0,683.0465698242188
121,22.0,153.37013244628906
122,29.0,254.62123107910156
123,41.0,493.2441101074219
124,63.0,1077.1934814453125
125,60.0,991.7708740234375
126,52.0,742.8206176757812
127,48.0,669.8524780273438
128,34.0,341.90386962890625
129,13.0,67.92151641845703
130,22.0,154.44451904296875
131,26.0,205.7706298828125
132,48.0,649.5188598632812
133,39.0,431.018310546875
134,54.0,784.1470947265625
135,18.0,109.69495391845703
136,32.0,299.9776306152344
137,56.0,832.4241943359375
138,33.0,315.5040283203125
139,31.0,299.0086669921875
140,57.0,857.6544189453125
141,31.0,289.7373046875
142,59.0,920.98974609375
143,39.0,431.9872131347656
144,34.0,348.166015625
145,41.0,487.189697265625
146,45.0,565.8680419921875
147,63.0,1040.1998291015625
148,32.0,286.03857421875
149,60.0,950.6329345703125
150,74.0,1389.6334228515625
151,45.0,576.7694702148438
152,59.0,914.9710693359375
153,23.0,175.75975036621094
154,95.0,2129.514892578125
155,35.0,352.24090576171875
156,62.0,1038.141845703125
157,67.0,1159.1943359375
158,38.0,398.413330078125
159,46.0,614.35205078125
160,31.0,296.6277160644531
161,33.0,336.9363098144531
162,20.0,148.81265258789062
163,77.0,1502.3450927734375
164,20.0,137.28126525878906
165,92.0,1956.7158203125
166,39.0,430.981201171875
167,50.0,689.7749633789062
168,44.0,556.01611328125
169,38.0,430.74603271484375
170,44.0,525.8331909179688
171,50.0,669.986083984375
172,63.0,1014.1232299804688
173,85.0,1753.144287109375
174,36.0,366.74066162109375
175,54.0,748.6827392578125
176,55.0,794.744384765625
177,30.0,275.31304931640625
178,91.0,2009.781982421875
179,160.0,4915.31201171875
180,46.0,592.7103881835938
181,95.0,2130.247802734375
182,51.0,676.9856567382812
183,35.0,341.8380126953125
184,50.0,684.940185546875
185,31.0,318.1712341308594
186,64.0,1029.3204345703125
187,29.0,243.06781005859375
188,22.0,151.92735290527344
189,17.0,113.19041442871094
190,26.0,206.63406372070312
191,77.0,1424.07763671875
192,39.0,422.794189453125
193,32.0,291.4616394042969
194,17.0,128.31529235839844
195,66.0,1156.2310791015625
196,66.0,1039.578125
197,115.0,2857.005859375
198,76.0,1429.396240234375
199,153.0,4739.47900390625
200,62.0,1052.677001953125
201,55.0,811.812255859375
202,70.0,1236.4931640625
203,48.0,590.1815185546875
204,151.0,4610.98681640625
205,33.0,315.6023864746094
206,108.0,2594.610595703125
207,16.0,98.3453140258789
208,43.0,486.1433410644531
209,73.0,1366.5103759765625
210,29.0,266.96923828125
211,103.0,2420.022705078125
212,92.0,2022.8818359375
213,60.0,934.8626708984375
214,41.0,454.4842224121094
215,112.0,2832.84521484375
216,54.0,766.1935424804688
217,49.0,624.7255859375
218,36.0,358.281982421875
219,20.0,137.87527465820312
220,116.0,2997.847412109375
221,59.0,904.1713256835938
222,50.0,653.0996704101562
223,127.0,3404.428466796875
224,111.0,2714.550537109375
225,49.0,629.57861328125
226,44.0,532.12109375
227,46.0,584.6928100585938
228,63.0,1008.0715942382812
229,84.0,1733.382568359375
230,24.0,197.4696807861328
231,38.0,387.0099792480469
232,70.0,1201.675537109375
233,89.0,1968.57080078125
234,40.0,484.6836242675781
235,91.0,1907.4105224609375
236,57.0,871.4082641601562
237,100.0,2221.23388671875
238,17.0,104.72285461425781
239,39.0,430.0582580566406
240,60.0,989.1381225585938
